ligne_num,couleur,origine,destination,jours_validite,course_num,heure_ref_depart_ligne,commune,arret,arret_norm,heure_passage,remarque
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,LE GRAND-VILLAGE-PLAGE,Port des Salines,le grand village plage|port des salines,10:13,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,LE GRAND-VILLAGE-PLAGE,Port des Salines,le grand village plage|port des salines,11:43,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,LE GRAND-VILLAGE-PLAGE,Port des Salines,le grand village plage|port des salines,13:13,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,LE GRAND-VILLAGE-PLAGE,Port des Salines,le grand village plage|port des salines,14:43,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,LE GRAND-VILLAGE-PLAGE,Port des Salines,le grand village plage|port des salines,16:13,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,LE GRAND-VILLAGE-PLAGE,Port des Salines,le grand village plage|port des salines,17:43,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,LE GRAND-VILLAGE-PLAGE,Mairie,le grand village plage|mairie,08:46,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,LE GRAND-VILLAGE-PLAGE,Mairie,le grand village plage|mairie,10:16,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,LE GRAND-VILLAGE-PLAGE,Mairie,le grand village plage|mairie,11:46,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,LE GRAND-VILLAGE-PLAGE,Mairie,le grand village plage|mairie,13:16,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,LE GRAND-VILLAGE-PLAGE,Mairie,le grand village plage|mairie,14:46,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,LE GRAND-VILLAGE-PLAGE,Mairie,le grand village plage|mairie,16:16,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,LE GRAND-VILLAGE-PLAGE,Mairie,le grand village plage|mairie,17:46,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,LE GRAND-VILLAGE-PLAGE,Camping le Maine,le grand village plage|camping le maine,08:51,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,LE GRAND-VILLAGE-PLAGE,Camping le Maine,le grand village plage|camping le maine,10:21,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,LE GRAND-VILLAGE-PLAGE,Camping le Maine,le grand village plage|camping le maine,11:51,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,LE GRAND-VILLAGE-PLAGE,Camping le Maine,le grand village plage|camping le maine,13:21,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,LE GRAND-VILLAGE-PLAGE,Camping le Maine,le grand village plage|camping le maine,14:51,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,LE GRAND-VILLAGE-PLAGE,Camping le Maine,le grand village plage|camping le maine,16:21,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,LE GRAND-VILLAGE-PLAGE,Camping le Maine,le grand village plage|camping le maine,17:51,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,DOLUS-D'OLÉRON,Vert-Bois,dolus d'oleron|vert bois,08:54,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,DOLUS-D'OLÉRON,Vert-Bois,dolus d'oleron|vert bois,10:24,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,DOLUS-D'OLÉRON,Vert-Bois,dolus d'oleron|vert bois,11:54,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,DOLUS-D'OLÉRON,Vert-Bois,dolus d'oleron|vert bois,13:24,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,DOLUS-D'OLÉRON,Vert-Bois,dolus d'oleron|vert bois,14:54,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,DOLUS-D'OLÉRON,Vert-Bois,dolus d'oleron|vert bois,16:24,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,DOLUS-D'OLÉRON,Vert-Bois,dolus d'oleron|vert bois,17:54,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,LE CHÂTEAU-D'OLÉRON,Camping le Fief Melin,le chateau d'oleron|camping le fief melin,09:02,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,LE CHÂTEAU-D'OLÉRON,Camping le Fief Melin,le chateau d'oleron|camping le fief melin,10:32,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,LE CHÂTEAU-D'OLÉRON,Camping le Fief Melin,le chateau d'oleron|camping le fief melin,12:02,
